ID,Title,Time,Detail
1,《彩虹六号：围攻》第五年季票98元,2020-2-19,"《彩虹六号：围攻》第五年季票已经发售，售价为98元，截至发稿时Steam上383篇评测好评率为96%，特别好评。
　　《彩虹六号：围攻》第五年季票包括如下内容：
　　6位新干员（可提前7天）
　　VIP会员：游戏内商店购物10%off的折扣，5%声望加成、0.3%Alpha包加成
　　未来购买战斗通行证可享7折，等级赚取率可额外得到30%加速
　　6套服装、1个R6主题挂件、1款赛季武器涂装
　　VIP会员截止到2021年1月31日"
2,一周销量排行榜：《破坏领主》卫冕 《彩虹六号：围攻》新季票第二,2020-2-25,"V社公开了上周（2.17-2.24)的销量榜，其中《破坏领主》卫冕，《彩虹六号：围攻》新季票排在第二。近期结束抢先体验的《围攻》也登上榜单，排在第十的位置，此外《无人深空》也久违地来到了榜单上。
具体榜单如下：
01、《破坏领主》
02、《彩虹六号：围攻 第五年季票》
03、《怪物猎人：世界 冰原》
04、《地铁：离去》
05、《地铁：离去Gold Edition》
06、《PUBG》
07、《GTA5》
08、《无人深空》
09、《怪物猎人：世界》
10、《围攻》"
3,《鬼泣5》价格永降 标准版219元,2020-2-26,"《鬼泣5》价格现已永久下调，目前游戏标准版219元、高级版274元。有兴趣的玩家可以考虑入手
《鬼泣5》作为系列游戏的经典回归受到的关注颇高，目前《鬼泣5》处于特别好评状态。"
4,动作大逃杀游戏《影子战场》新预告 B测现已开启,2020-2-27,"动作大逃杀新作《影子战场》公布了最新的角色预告——兰斯洛特·巴塔利（Lancelot Bartali），并且游戏的Beta测试已经开启。
巴塔利是是船只金色夕阳号的队长，在经历海难后漂泊到哈索（Hasso）王国，就此拜师学艺最终获得了“金色巴达尔（Badal the Golden）”的称号。
巴达尔擅长抓取连击和近距离作战。在玩家逐渐熟练巴达尔的技能后便可以在任何场合下进行华丽且流畅的连击。玩家需要关注的不仅仅是如何连击，同时也要对战场态势进行观察，如此才能占得上风。"
5,《神界：原罪2》终极版半价优惠 折扣价66元,2020-2-28,"《神界：原罪2》终极版开启了半价优惠活动，折扣价为66元，游戏全部评测为“好评如潮”，好评率高达95%。
《神界：原罪2》这是一部备受期待获奖众多的角色扮演游戏的续作。召集你的团队，探讨战术，左右战局。你最多可以和其他三名玩家合作——但是，最终只有其中一人有机会成为神。"
